playerid,yearid,stint,teamid,lgid,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,birthyear,birthmonth,birthday,namefirst,namelast,avg,slg,obp,ops,age,,
baezja01,2014,1,CHN,NL,52,213,25,36,6,0,9,20,5,1,15,95,0,1,0,0,5,1992,12,1,Javier,Baez,0.169014085,0.323943662,0.227074236,0.551017898,22,,
baezja01,2015,1,CHN,NL,28,76,4,22,6,0,1,4,1,2,4,24,1,0,0,0,0,1992,12,1,Javier,Baez,0.289473684,0.407894737,0.3375,0.745394737,23,,
baezja01,2016,1,CHN,NL,142,421,50,115,19,1,14,59,12,3,15,108,3,11,1,2,8,1992,12,1,Javier,Baez,0.273159145,0.42280285,0.320712695,0.743515545,24,,
baezja01,2017,1,CHN,NL,145,469,75,128,24,2,23,75,10,3,30,144,15,1,6,2,10,1992,12,1,Javier,Baez,0.272921109,0.479744136,0.346613546,0.826357682,25,,
baezja01,2018,1,CHN,NL,160,606,101,176,40,9,34,111,21,9,29,167,8,5,1,4,10,1992,12,1,Javier,Baez,0.290429043,0.554455446,0.338509317,0.892964762,26,,
baezja01,2019,1,CHN,NL,138,531,89,149,38,4,29,85,11,7,28,156,3,0,0,2,16,1992,12,1,Javier,Baez,0.280602637,0.531073446,0.320855615,0.851929061,27,,
baezja01,2020,1,CHN,NL,59,222,27,45,9,1,8,24,3,0,7,75,0,4,0,2,8,1992,12,1,Javier,Baez,0.202702703,0.36036036,0.238297872,0.598658233,28,,
bogaexa01,2013,1,BOS,AL,18,44,7,11,2,0,1,5,1,0,5,13,0,0,0,1,1,1992,10,1,Xander,Bogaerts,0.25,0.363636364,0.32,0.683636364,21,,
bogaexa01,2014,1,BOS,AL,144,538,60,129,28,1,12,46,2,3,39,138,1,8,2,7,11,1992,10,1,Xander,Bogaerts,0.239776952,0.362453532,0.298986486,0.661440018,22,,
bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101,1,3,3,3,16,1992,10,1,Xander,Bogaerts,0.319738989,0.420880914,0.356374808,0.777255722,23,,
bogaexa01,2016,1,BOS,AL,157,652,115,192,34,1,21,89,13,4,58,123,0,6,0,3,14,1992,10,1,Xander,Bogaerts,0.294478528,0.446319018,0.35605007,0.802369088,24,,
bogaexa01,2017,1,BOS,AL,148,571,94,156,32,6,10,62,15,1,56,116,6,6,0,2,17,1992,10,1,Xander,Bogaerts,0.273204904,0.402802102,0.352755906,0.755558007,25,,
bogaexa01,2018,1,BOS,AL,136,513,72,148,45,3,23,103,8,2,55,102,4,6,0,6,14,1992,10,1,Xander,Bogaerts,0.288499025,0.522417154,0.367241379,0.889658533,26,,
bogaexa01,2019,1,BOS,AL,155,614,110,190,52,0,33,117,4,2,76,122,2,2,0,6,11,1992,10,1,Xander,Bogaerts,0.309446254,0.555374593,0.386819484,0.942194077,27,,
bogaexa01,2020,1,BOS,AL,56,203,36,61,8,0,11,28,8,0,21,41,2,0,0,1,3,1992,10,1,Xander,Bogaerts,0.300492611,0.502463054,0.373333333,0.875796388,28,,
bryankr01,2015,1,CHN,NL,151,559,87,154,31,5,26,99,13,4,77,199,0,9,0,5,7,1992,1,4,Kris,Bryant,0.27549195,0.488372093,0.369230769,0.857602862,23,,
bryankr01,2016,1,CHN,NL,155,603,121,176,35,3,39,102,8,5,75,154,5,18,0,3,3,1992,1,4,Kris,Bryant,0.291873964,0.553897181,0.391988555,0.945885736,24,,
bryankr01,2017,1,CHN,NL,151,549,111,162,38,4,29,73,7,5,95,128,5,15,0,6,8,1992,1,4,Kris,Bryant,0.295081967,0.537340619,0.416541353,0.953881973,25,,
bryankr01,2018,1,CHN,NL,102,389,59,106,28,3,13,52,2,4,48,107,6,17,0,3,5,1992,1,4,Kris,Bryant,0.272493573,0.460154242,0.387308534,0.847462776,26,,
bryankr01,2019,1,CHN,NL,147,543,108,153,35,1,31,77,4,0,74,145,1,15,0,2,10,1992,1,4,Kris,Bryant,0.281767956,0.521178637,0.383280757,0.904459394,27,,
bryankr01,2020,1,CHN,NL,34,131,20,27,5,1,4,11,0,0,12,40,0,4,0,0,1,1992,1,4,Kris,Bryant,0.20610687,0.351145038,0.292517007,0.643662045,28,,
correca01,2015,1,HOU,AL,99,387,52,108,22,1,22,68,14,4,40,78,2,1,0,4,10,1994,9,22,Carlos,Correa,0.279069767,0.511627907,0.349537037,0.861164944,21,,
correca01,2016,1,HOU,AL,153,577,76,158,36,3,20,96,13,3,75,139,5,5,0,3,12,1994,9,22,Carlos,Correa,0.273830156,0.450606586,0.368181818,0.818788404,22,,
correca01,2017,1,HOU,AL,109,422,82,133,25,1,24,84,2,1,53,92,5,2,0,4,12,1994,9,22,Carlos,Correa,0.315165877,0.549763033,0.401247401,0.951010434,23,,
correca01,2018,1,HOU,AL,110,402,60,96,20,1,15,65,3,0,53,111,3,2,0,11,17,1994,9,22,Carlos,Correa,0.23880597,0.405472637,0.329059829,0.734532466,24,,
correca01,2019,1,HOU,AL,75,280,42,78,16,1,21,59,1,0,35,75,0,2,0,4,8,1994,9,22,Carlos,Correa,0.278571429,0.567857143,0.358255452,0.926112595,25,,
correca01,2020,1,HOU,AL,58,201,22,53,9,0,5,25,0,0,16,49,2,3,0,1,4,1994,9,22,Carlos,Correa,0.263681592,0.383084577,0.334841629,0.717926206,26,,
holloch01,1923,1,CHN,NL,66,260,46,89,14,2,1,28,9,10,26,5,0,4,9,0,0,1896,6,11,Charlie,Hollocher,0.342307692,0.423076923,0.410344828,0.833421751,27,,
holloch01,1918,1,CHN,NL,131,509,72,161,23,6,2,38,26,0,47,30,0,4,26,0,0,1896,6,11,Charlie,Hollocher,0.316306483,0.396856582,0.378571429,0.77542801,22,,
holloch01,1919,1,CHN,NL,115,430,51,116,14,5,3,26,16,0,44,19,0,7,21,0,0,1896,6,11,Charlie,Hollocher,0.269767442,0.346511628,0.347193347,0.693704975,23,,
holloch01,1920,1,CHN,NL,80,301,53,96,17,2,0,22,20,14,41,15,0,3,24,0,0,1896,6,11,Charlie,Hollocher,0.318936877,0.388704319,0.405797101,0.79450142,24,,
holloch01,1921,1,CHN,NL,140,558,71,161,28,8,3,37,5,16,43,13,0,2,26,0,0,1896,6,11,Charlie,Hollocher,0.288530466,0.383512545,0.341625207,0.725137752,25,,
holloch01,1922,1,CHN,NL,152,592,90,201,37,8,3,69,19,29,58,5,0,5,37,0,0,1896,6,11,Charlie,Hollocher,0.339527027,0.444256757,0.403053435,0.847310192,26,,
holloch01,1924,1,CHN,NL,76,286,28,70,12,4,2,21,4,11,18,7,0,1,8,0,0,1896,6,11,Charlie,Hollocher,0.244755245,0.335664336,0.291803279,0.627467614,28,,
lindofr01,2015,1,CLE,AL,99,390,50,122,22,4,12,51,12,2,27,69,0,1,13,7,12,1993,11,14,Francisco,Lindor,0.312820513,0.482051282,0.352941176,0.834992459,22,,
lindofr01,2016,1,CLE,AL,158,604,99,182,30,3,15,78,19,5,57,88,3,5,3,15,18,1993,11,14,Francisco,Lindor,0.301324503,0.435430464,0.362701909,0.798132373,23,,
lindofr01,2017,1,CLE,AL,159,651,99,178,44,4,33,89,15,3,60,93,6,4,5,3,11,1993,11,14,Francisco,Lindor,0.273425499,0.505376344,0.3454039,0.850780244,24,,
lindofr01,2018,1,CLE,AL,158,661,129,183,42,2,38,92,25,10,70,107,7,8,3,3,5,1993,11,14,Francisco,Lindor,0.276853253,0.518910741,0.361185984,0.880096725,25,,
lindofr01,2019,1,CLE,AL,143,598,101,170,40,2,32,74,22,5,46,98,9,3,1,6,13,1993,11,14,Francisco,Lindor,0.284280936,0.518394649,0.349157734,0.867552382,26,,
lindofr01,2020,1,CLE,AL,60,236,30,61,13,0,8,27,6,2,24,41,2,4,0,2,8,1993,11,14,Francisco,Lindor,0.258474576,0.415254237,0.342105263,0.7573595,27,,
ramirjo01,2013,1,CLE,AL,15,12,5,4,0,1,0,0,0,1,2,2,0,0,0,0,0,1992,9,17,Jose,Ramirez,0.333333333,0.5,0.428571429,0.928571429,21,,
ramirjo01,2014,1,CLE,AL,68,237,27,62,10,2,2,17,10,1,13,35,0,1,13,2,3,1992,9,17,Jose,Ramirez,0.261603376,0.345991561,0.300395257,0.646386818,22,,
ramirjo01,2015,1,CLE,AL,97,315,50,69,14,3,6,27,10,4,32,39,0,1,5,2,5,1992,9,17,Jose,Ramirez,0.219047619,0.33968254,0.291428571,0.631111111,23,,
ramirjo01,2016,1,CLE,AL,152,565,84,176,46,3,11,76,22,7,44,62,1,4,1,4,10,1992,9,17,Jose,Ramirez,0.311504425,0.461946903,0.364667747,0.82661465,24,,
ramirjo01,2017,1,CLE,AL,152,585,107,186,56,6,29,83,17,5,52,69,5,3,0,5,13,1992,9,17,Jose,Ramirez,0.317948718,0.582905983,0.381395349,0.964301332,25,,
ramirjo01,2018,1,CLE,AL,157,578,110,156,38,4,39,105,34,6,106,80,15,8,0,6,2,1992,9,17,Jose,Ramirez,0.269896194,0.551903114,0.408309456,0.96021257,26,,
ramirjo01,2019,1,CLE,AL,129,482,68,123,33,3,23,83,24,4,52,74,3,2,0,6,8,1992,9,17,Jose,Ramirez,0.255186722,0.479253112,0.332103321,0.811356433,27,,
ramirjo01,2020,1,CLE,AL,58,219,45,64,16,1,17,46,10,3,31,43,0,3,0,1,2,1992,9,17,Jose,Ramirez,0.292237443,0.607305936,0.385826772,0.993132708,28,,
schoojo01,2013,1,BAL,AL,5,14,5,4,0,0,1,1,0,0,1,2,0,0,0,0,2,1991,10,16,Jonathan,Schoop,0.285714286,0.5,0.333333333,0.833333333,22,,
schoojo01,2014,1,BAL,AL,137,455,48,95,18,0,16,45,2,0,13,122,0,8,5,0,12,1991,10,16,Jonathan,Schoop,0.208791209,0.353846154,0.243697479,0.597543633,23,,
schoojo01,2015,1,BAL,AL,86,305,34,85,17,0,15,39,2,0,9,79,0,4,1,2,9,1991,10,16,Jonathan,Schoop,0.278688525,0.481967213,0.30625,0.788217213,24,,
schoojo01,2016,1,BAL,AL,162,615,82,164,38,1,25,82,1,2,21,137,0,8,0,3,16,1991,10,16,Jonathan,Schoop,0.266666667,0.453658537,0.298299845,0.751958382,25,,
schoojo01,2017,1,BAL,AL,160,622,92,182,35,0,32,105,1,0,35,142,0,11,0,7,20,1991,10,16,Jonathan,Schoop,0.292604502,0.503215434,0.337777778,0.840993212,26,,
schoojo01,2018,1,BAL,AL,85,349,45,85,18,1,17,40,0,1,12,74,1,3,1,2,8,1991,10,16,Jonathan,Schoop,0.243553009,0.446991404,0.275956284,0.722947688,27,0.469088195,0.20520091
schoojo01,2018,2,MIL,NL,46,124,16,25,4,0,4,21,1,0,7,41,1,1,0,2,3,1991,10,16,Jonathan,Schoop,0.201612903,0.330645161,0.253731343,0.584376505,27,0.674289105,<- average
schoojo01,2019,1,MIN,AL,121,433,61,111,23,1,23,59,1,1,20,116,1,10,0,1,13,1991,10,16,Jonathan,Schoop,0.256351039,0.473441109,0.306034483,0.779475591,28,,
schoojo01,2020,1,DET,AL,44,162,26,45,4,2,8,23,0,0,8,39,0,4,0,2,8,1991,10,16,Jonathan,Schoop,0.277777778,0.475308642,0.323863636,0.799172278,29,,
seageco01,2015,1,LAN,NL,27,98,17,33,8,1,4,17,2,0,14,19,1,1,0,0,2,1994,4,27,Corey,Seager,0.336734694,0.56122449,0.433628319,0.994852808,21,,
seageco01,2016,1,LAN,NL,157,627,105,193,40,5,26,72,3,3,54,133,5,4,0,2,12,1994,4,27,Corey,Seager,0.307814992,0.511961722,0.372634643,0.884596366,22,,
seageco01,2017,1,LAN,NL,145,539,85,159,33,0,22,77,4,2,67,131,5,4,0,3,14,1994,4,27,Corey,Seager,0.294990724,0.478664193,0.383360522,0.862024715,23,,
seageco01,2018,1,LAN,NL,26,101,13,27,5,1,2,13,0,0,11,17,1,2,0,1,2,1994,4,27,Corey,Seager,0.267326733,0.396039604,0.356521739,0.752561343,24,,
seageco01,2019,1,LAN,NL,134,489,82,133,44,1,19,87,1,0,44,98,3,4,0,4,8,1994,4,27,Corey,Seager,0.27198364,0.482617587,0.340110906,0.822728493,25,,
seageco01,2020,1,LAN,NL,52,212,38,65,12,1,15,41,1,0,17,37,0,1,0,2,8,1994,4,27,Corey,Seager,0.306603774,0.58490566,0.357758621,0.942664281,26,,
turnetr01,2015,1,WAS,NL,27,40,5,9,1,0,1,1,2,2,4,12,0,0,0,0,0,1993,6,30,Trea,Turner,0.225,0.325,0.295454545,0.620454545,22,,
turnetr01,2016,1,WAS,NL,73,307,53,105,14,8,13,40,33,6,14,59,0,1,0,2,1,1993,6,30,Trea,Turner,0.342019544,0.566775244,0.37037037,0.937145615,23,,
turnetr01,2017,1,WAS,NL,98,412,75,117,24,6,11,45,46,8,30,80,0,4,0,1,4,1993,6,30,Trea,Turner,0.283980583,0.451456311,0.337807606,0.789263917,24,,
turnetr01,2018,1,WAS,NL,162,664,103,180,27,6,19,73,43,9,69,132,3,5,2,0,7,1993,6,30,Trea,Turner,0.271084337,0.415662651,0.348238482,0.763901133,25,,
turnetr01,2019,1,WAS,NL,122,521,96,155,37,5,19,57,35,5,43,113,2,3,0,2,10,1993,6,30,Trea,Turner,0.297504798,0.497120921,0.356766257,0.853887178,26,,
turnetr01,2020,1,WAS,NL,59,233,46,78,15,4,12,41,12,4,22,36,0,2,0,2,5,1993,6,30,Trea,Turner,0.334763948,0.587982833,0.393822394,0.981805226,27,,
wrighgl01,1924,1,PIT,NL,153,616,80,177,28,18,7,111,14,6,27,52,0,1,18,0,0,1901,2,6,Glenn,Wright,0.287337662,0.425324675,0.318322981,0.743647657,23,,
wrighgl01,1926,1,PIT,NL,119,458,73,141,15,15,8,77,6,0,19,26,0,0,16,0,0,1901,2,6,Glenn,Wright,0.307860262,0.458515284,0.335429769,0.793945053,25,,
wrighgl01,1925,1,PIT,NL,153,614,97,189,32,10,18,121,3,7,31,32,0,0,15,0,0,1901,2,6,Glenn,Wright,0.30781759,0.480456026,0.341085271,0.821541297,24,,
wrighgl01,1927,1,PIT,NL,143,570,78,160,26,4,9,105,4,0,39,46,0,1,16,0,0,1901,2,6,Glenn,Wright,0.280701754,0.387719298,0.327868852,0.715588151,26,,
wrighgl01,1929,1,BRO,NL,24,25,4,5,0,0,1,6,0,0,3,6,0,0,2,0,0,1901,2,6,Glenn,Wright,0.2,0.32,0.285714286,0.605714286,28,,
wrighgl01,1928,1,PIT,NL,108,407,63,126,20,8,8,66,3,0,21,53,0,0,15,0,0,1901,2,6,Glenn,Wright,0.30958231,0.457002457,0.343457944,0.800460401,27,,
wrighgl01,1935,1,CHA,AL,9,25,1,3,1,0,0,1,0,0,0,6,0,0,1,0,0,1901,2,6,Glenn,Wright,0.12,0.16,0.12,0.28,34,,
wrighgl01,1930,1,BRO,NL,135,532,83,171,28,12,22,126,2,0,32,70,0,0,17,0,0,1901,2,6,Glenn,Wright,0.321428571,0.543233083,0.359929078,0.903162161,29,,
wrighgl01,1931,1,BRO,NL,77,268,36,76,9,4,9,32,1,0,14,35,0,2,2,0,0,1901,2,6,Glenn,Wright,0.28358209,0.447761194,0.323943662,0.771704856,30,,
wrighgl01,1932,1,BRO,NL,127,446,50,122,31,5,11,60,4,0,12,57,0,0,7,0,0,1901,2,6,Glenn,Wright,0.273542601,0.439461883,0.292576419,0.732038303,31,,
wrighgl01,1933,1,BRO,NL,71,192,19,49,13,0,1,18,1,0,11,24,0,1,4,0,9,1901,2,6,Glenn,Wright,0.255208333,0.338541667,0.299019608,0.637561275,32,,